customer_number,use_case_x,registration_month,kyc_status,spend_volume,spend_transaction_count,use_case_y,num_use_case
10022168,Online Purchase,Nov 2019,1,638,2,"['Online Purchase', 'Pay with PayMaya', 'PAYMAYA SHOP']",3
10022168,Pay with PayMaya,Nov 2019,1,4337,1,"['Online Purchase', 'Pay with PayMaya', 'PAYMAYA SHOP']",3
10022168,PAYMAYA SHOP,Nov 2019,1,406,5,"['Online Purchase', 'Pay with PayMaya', 'PAYMAYA SHOP']",3
10022240,PAYMAYA SHOP,Jun 2020,1,100,1,"['PAYMAYA SHOP', 'P2P Sending']",2
10022240,P2P Sending,Jun 2020,1,335,1,"['PAYMAYA SHOP', 'P2P Sending']",2
10022264,Instapay Sending,May 2021,1,4900,1,"['Instapay Sending', 'PAYMAYA SHOP']",2
10022264,PAYMAYA SHOP,May 2021,1,147.5,3,"['Instapay Sending', 'PAYMAYA SHOP']",2
10022280,P2P Sending,Apr 2021,1,50000,10,['P2P Sending'],1
10022283,Instapay Sending,Oct 2020,1,4700,3,"['Instapay Sending', 'Pay with PayMaya', 'PAYMAYA SHOP']",3
10022283,Pay with PayMaya,Oct 2020,1,3749,28,"['Instapay Sending', 'Pay with PayMaya', 'PAYMAYA SHOP']",3
10022283,PAYMAYA SHOP,Oct 2020,1,570,5,"['Instapay Sending', 'Pay with PayMaya', 'PAYMAYA SHOP']",3
10022315,PAYMAYA SHOP,May 2021,1,300,1,['PAYMAYA SHOP'],1
10022324,Instapay Sending,Apr 2020,1,49900,5,"['Instapay Sending', 'PAYMAYA SHOP']",2
