customer_number,use_case,registration_month,kyc_status,spend_volume,spend_transaction_count
10017179,Bills Payment,4/1/20 0:00,1,1000.0,1
1001718,Online Purchase,9/1/20 0:00,1,100.0,1
1001718,PAYMAYA SHOP,9/1/20 0:00,1,249.0,6
10017195,P2P - Consumer to Negosyo Sending,2/1/17 0:00,1,3700.0,1
10017195,Instapay Sending,2/1/17 0:00,1,5100.0,2
10017195,PAYMAYA SHOP,2/1/17 0:00,1,0.0,0
1001720,P2P Sending,10/1/18 0:00,1,4500.0,2
1001720,Pay with PayMaya,10/1/18 0:00,1,1397.0,5
1001720,Bills Payment,10/1/18 0:00,1,1512.0,1
1001720,PAYMAYA SHOP,10/1/18 0:00,1,149.0,1
1001720,ATM Withdrawal,10/1/18 0:00,1,6074.0,6
10017203,PAYMAYA SHOP,9/1/20 0:00,1,190.0,5
10017203,Bills Payment,9/1/20 0:00,1,4654.16,1
10017276,Bills Payment,6/1/21 0:00,0,1300.0,1
10017294,ATM Withdrawal,11/1/20 0:00,1,7.0,5
10017319,PAYMAYA SHOP,7/1/21 0:00,0,30.0,1
10017358,Instapay Sending,9/1/19 0:00,1,100.0,1
10017358,PAYMAYA SHOP,9/1/19 0:00,1,1346.0,12
10017358,Bills Payment,9/1/19 0:00,1,1450.5,3
10017376,PAYMAYA SHOP,11/1/19 0:00,1,65.0,2
10017376,P2P Sending,11/1/19 0:00,1,2564.0,4
10017376,Instapay Sending,11/1/19 0:00,1,6093.0,7
10017376,P2P - Consumer to Negosyo Sending,11/1/19 0:00,1,2250.0,3
10017392,Instapay Sending,2/1/21 0:00,1,2965.0,3
10017400,QR,1/1/20 0:00,1,50.0,1
10017410,Instapay Sending,5/1/17 0:00,1,3000.0,1
10017410,PAYMAYA SHOP,5/1/17 0:00,1,50.0,1
10017444,P2P - Consumer to Negosyo Sending,10/1/19 0:00,1,670.0,2
10017457,P2P Sending,6/1/21 0:00,1,20.0,1
10017457,Bills Payment,6/1/21 0:00,1,2140.25,2
10017464,QR,5/1/21 0:00,0,75.0,1
10017464,PAYMAYA SHOP,5/1/21 0:00,0,20.0,1
10017464,Bills Payment,5/1/21 0:00,0,1107.0,1
10017468,Bills Payment,7/1/21 0:00,1,4000.0,1
10017468,PAYMAYA SHOP,7/1/21 0:00,1,1045.0,8
10017468,Pay with PayMaya,7/1/21 0:00,1,505.0,1
10017490,Online Purchase,7/1/21 0:00,1,780.0,1
10017490,PAYMAYA SHOP,7/1/21 0:00,1,90.0,1
10017490,Instapay Sending,7/1/21 0:00,1,25670.0,2
10017491,Pay with PayMaya,9/1/20 0:00,1,149.0,1
10017491,PAYMAYA SHOP,9/1/20 0:00,1,1719.0,11
10017519,Pay with PayMaya,1/1/18 0:00,1,1208.0,2
10017519,QR,1/1/18 0:00,1,507.0,1
10017519,PAYMAYA SHOP,1/1/18 0:00,1,50.0,3
10017524,P2P - Consumer to Negosyo Sending,1/1/20 0:00,1,7000.0,2
10017524,Instapay Sending,1/1/20 0:00,1,94.5,1
10017524,Online Purchase,1/1/20 0:00,1,598.0,2
